ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,COmax,meansigv,errsigv,ellipse a,ellipse b,ellipse R,errR,area,perimeter,mass from summing mom0
0,1,685,1613,24,85708,651579,23.88297844,88.28924046,4.253852874,243.070187,104.6352757,258.6399514,119.6793148,191104.8512,7364.584394,211303220
1,1,685,1613,24,83576,630057,23.88297844,88.1610775,4.233291156,242.1092651,104.0930657,257.45305,120.6515625,186351.0879,7295.896056,206487870
2,1,685,1613,24,78847,587640,23.88297844,86.08056042,4.080989029,242.6522206,104.4508622,258.1875727,97.65598839,175806.7415,6886.752479,197311620
3,1,685,1613,24,63612,439261,23.88297844,84.3185979,3.980114997,104.5765824,245.8979265,260.0736659,63.67138285,141836.9556,6373.08317,161456690
4,1,685,1613,24,36459,265169,23.88297844,84.18025859,3.988639409,180.5084694,82.82881113,197.9807454,74.1783094,81293.36548,4243.744697,114029690
5,1,685,1613,24,20201,169588,23.88297844,55.47404572,2.241269112,115.4979243,90.04435164,164.8334153,46.28291576,45042.57594,2245.810002,74384330
6,1,685,1613,24,37764,291388,23.88297844,84.34017971,3.991582475,100.8968883,259.6319923,262.5052523,125.217865,84203.15022,4079.489976,119704024
7,1,685,1613,24,18910,152400,23.88297844,55.53213942,2.24813051,114.6983195,87.14146968,161.5550024,45.64400232,42164.00727,2215.945507,69732930
8,1,685,1613,24,13724,114700,23.88297844,53.61908625,2.156529354,29.80472108,103.4261787,88.51572099,58.4469885,30600.67879,1523.08923,56476610
9,1,685,1613,24,11742,100846,23.88297844,51.83691166,2.064098804,29.5493301,102.0877332,87.52560699,58.90331929,26181.37353,1230.417182,52283110
10,1,685,1613,24,10489,79984,23.88297844,50.50987451,2.050139086,29.3831969,101.4333282,86.97763273,64.18840497,23387.53423,1122.905001,45606210
11,1,685,1613,24,36645,267128,23.88297844,84.22192404,3.994883119,182.0202599,82.86297381,198.8559317,69.48395812,81708.09342,4225.826001,114585896
12,1,508,1863,13,2260,16404,11.49380112,32.13302905,1.318036428,17.34489893,33.32378889,34.88578075,9.438434214,5039.167448,391.2248806,2912487.8
13,1,762,1669,13,4719,28663,19.6638546,52.56214927,2.547605858,56.43703613,15.32693757,44.44544469,38.81644039,10522.0492,863.0838969,10735976
14,2,680,1692,13,177,348,11.40903568,10.52656435,0.4829629635,6.453013095,8.428347483,nan,1.044062782,394.6604594,116.4715293,234778.78
15,1,1315,1341,43,137199,1070319,28.44033241,127.1486635,6.257979516,20.5790476,30.82268594,36.95662583,2.922308018,305915.3693,10536.19373,353444600
16,1,1315,1341,43,130294,1008204,28.44033241,126.9123926,6.193295716,20.70300229,30.87156659,37.12898616,7.591309774,290519.152,10371.93901,339489540
17,1,1315,1341,43,123302,975997,28.44033241,126.6338455,6.118473682,20.78015815,30.94112222,37.26492577,5.358114797,274928.949,9404.329382,332800100
18,1,1315,1341,43,113540,884562,28.44033241,125.0694638,6.092318217,20.39981385,30.83968278,36.77105912,11.01506121,253162.4213,8663.689913,310098720
19,1,1315,1341,43,109901,861827,28.44033241,124.8123486,6.032392763,20.50368034,30.81458178,36.86753153,7.860963776,245048.4698,8179.885099,304497150
20,1,1315,1341,43,107043,819044,28.44033241,124.9662538,6.061754967,20.25049798,30.81372847,36.58625897,10.58160329,238675.9297,8254.546336,293502720
21,1,1315,1341,43,84815,659858,28.44033241,123.5665892,5.838513513,19.67491575,30.68832288,35.84927328,6.733200808,189113.7111,6316.34063,245600930
22,1,1315,1341,43,83026,626545,28.44033241,123.498884,5.829242321,19.30968747,30.62379583,35.38731245,7.210611712,185124.7418,6570.188835,236540780
23,1,1315,1341,43,103404,774056,28.44033241,124.2777304,5.932468154,19.7766082,30.77322376,36.02573003,6.065427633,230561.9782,8173.9122,281508260
24,1,1119,1357,33,68302,484357,20.65579987,69.5154491,2.909962874,146.3521695,62.23576365,154.1337054,61.44672224,152294.3429,5187.46273,193006500
25,1,1119,1357,33,71380,505063,20.65579987,69.51554597,2.913317376,148.1743605,62.10210955,154.9339441,60.05278726,159157.4214,5509.999273,199302000
26,1,1119,1357,33,62280,424280,20.65579987,69.5786124,2.91606296,137.9660896,59.21386447,145.8645542,77.22224831,138866.9684,5136.693089,174706600
27,1,1315,1341,43,105187,788653,28.44033241,124.905241,6.045353093,19.92839007,30.78384736,36.20434494,9.688661331,234537.5692,8350.112719,285578270
28,1,1315,1341,43,132244,1027033,28.44033241,126.9652052,6.208231903,20.92134122,30.8680023,37.36542878,6.148465463,294867.1062,10312.21002,343848030
29,1,1315,1341,43,77734,583043,28.44033241,115.6694401,5.382558234,18.85631603,30.47857103,34.7611813,4.312700953,173325.063,6181.950404,223607710
30,1,1315,1341,43,115194,900584,28.44033241,125.114773,6.103743613,20.52694996,30.88512028,36.94503397,11.22034622,256850.3783,8902.605871,314246820
31,1,1315,1341,43,139297,1131450,28.44033241,127.6292349,6.402101276,20.75835003,30.82185943,37.1530624,2.472976678,310593.3221,10306.23712,368805280
