ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,COmax,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,area,perimeter
0,1,685,1612,24,7936,51337,6.005281448,46.26990873,2.207661203,26.10825457,77.82945849,71.12725844,31.99998884,23374.15591,1463.36024
1,2,665,1709,8,632,1343,2.570132732,6.595139508,0.2191888046,14.07536637,16.43468847,17.35186123,4.436294419,1821.68133,253.848205
2,1,685,1612,24,7825,38241,6.005281448,39.94182441,1.72936654,19.74481115,75.55639873,60.26469888,21.49291988,19955.99498,1266.254575
3,2,680,1694,13,205,353,1.957069159,9.009468361,0.4576641807,5.802353375,7.745570629,nan,0.7396714529,457.0926225,107.5121809
4,2,759,1668,13,1791,9915,3.768822432,19.62466938,0.8253253737,19.95624888,15.66867753,22.7173714,7.841875071,5973.420174,501.723511
5,1,685,1612,24,6433,21644,6.005281448,36.83767436,1.716988871,18.56041973,75.73481723,58.34487334,16.17047292,14343.78947,1158.742394
6,2,1302,1484,14,241,1050,1.672510743,12.1950163,0.56035472,21.79522352,6.031699334,6.100513337,16.26869901,1502.831354,256.8346544
7,2,656,1696,16,1509,5462,2.486131191,22.61462096,1.041559174,15.60520252,25.64236296,27.33488119,10.60293554,3364.647646,385.2519817
8,1,685,1612,24,6192,20993,6.005281448,33.47790466,1.545602081,18.40304367,75.77731868,58.09214374,14.25273884,13806.42692,1099.013405
9,2,471,1953,14,191,790,1.5957371,7.021101938,0.3132665361,14.14432121,7.331461456,nan,12.15715799,916.4149651,167.2411703
10,2,1167,1797,14,203,437,2.038623333,nan,nan,10.36809084,7.93335523,nan,3.628009721,744.7265166,137.3766756
11,2,700,1657,15,101,432,1.751616955,5.0902527,0.1695199924,6.542203009,16.79874211,nan,19.88326549,798.2397993,200.0921145
12,2,1316,1547,17,471,1242,1.855950952,6.897622392,0.2838558068,11.47879702,21.9773422,18.87967852,6.632890713,1527.358275,206.0650135
13,2,1149,1657,17,116,417,1.634819031,5.075689579,0.17232613,11.54687142,7.480636931,nan,6.846901486,635.4702313,149.3224735
14,1,1281,1480,25,32819,178051,3.674115419,47.56060084,2.321859067,152.9722297,70.16302067,167.4819854,87.17735025,105949.6105,6095.343369
15,1,1281,1480,25,31585,131907,3.674115419,47.56122898,2.333998422,149.4279563,73.46675009,169.4035792,77.58238749,88102.9307,6334.259327
16,1,1281,1480,25,29651,115837,3.674115419,47.53527587,2.327484104,151.0102143,73.78623717,170.6816078,78.5341998,77320.00424,5175.516932
17,1,1281,1480,25,30926,124286,3.674115419,47.56164031,2.334136002,150.0766263,72.18114177,168.266695,80.36254558,83806.26004,6032.62793
18,1,1281,1480,25,30543,120143,3.674115419,47.54842641,2.331174331,150.5377677,74.00856889,170.6708423,73.75125194,80871.94838,5596.606307
19,1,1281,1480,25,29193,107497,3.674115419,47.53561408,2.328656856,151.3773516,75.80777113,173.2408448,73.78901179,74140.42337,5241.21882
20,1,1281,1480,25,23310,81694,3.674115419,42.5717586,2.141372585,50.57080349,149.4123045,140.1970396,92.08888526,57787.65608,4195.961506
21,2,1280,1427,20,724,1264,1.992474198,8.951065688,0.4497479119,9.069830558,26.74573565,18.18864644,20.95764493,1748.100566,295.6584976
22,1,1281,1480,25,22647,70801,3.674115419,42.38199801,2.10187931,52.03408638,153.9470861,144.4174942,70.57657069,53276.9323,4046.639032
23,1,1281,1480,25,28206,102075,3.674115419,42.53647905,2.134133037,152.3803386,74.0974629,171.8274026,81.52370464,70548.34427,4957.506121
24,1,1281,1480,25,21166,63269,3.674115419,42.28923821,2.087270296,53.64335789,155.9465289,147.6294244,47.44732787,48309.1159,3786.817928
25,1,1281,1480,25,22169,68154,3.674115419,42.29754002,2.088279102,52.17707095,154.6032278,144.9311517,47.02718692,51707.20934,3974.964245
26,1,1281,1480,25,18669,50155,3.674115419,40.56579922,2.010261227,60.26971136,160.7809893,159.0435419,31.30663245,41626.64473,3368.715003
27,1,1281,1480,25,4706,12891,3.674115419,23.73645701,1.012438026,65.75935046,15.34233101,48.53578067,20.67538108,10493.06284,967.6096284
28,2,1281,1480,25,2014,5123,3.674115419,15.14505818,0.6127724466,16.97757311,10.96268221,13.47741579,5.733495219,4490.656301,477.8319153
29,1,685,1612,24,4471,14205,6.005281448,17.28205734,0.632428793,16.79171821,19.90069129,23.93393998,3.709979292,9969.078611,800.3684581
30,2,685,1612,24,3948,12804,6.005281448,15.71014077,0.5499531511,16.64030552,19.72029618,23.59956777,1.340432646,8802.934993,674.9375803
31,2,686,1641,20,385,432,1.946355104,nan,nan,16.41456967,8.159431082,6.614102466,22.09135129,858.4422422,203.078564
32,2,1266,1542,25,1644,5167,2.043532372,10.15106329,0.4024341495,36.73829399,18.39698123,38.41541476,19.56365164,6278.891829,746.6123676
33,2,1231,1605,26,147,545,1.717993617,7.205907805,0.3580403132,6.794690921,9.147841853,nan,2.317389513,896.3474841,182.1734177
34,2,631,1712,27,773,2598,2.386605024,10.02017508,0.4041956004,13.46316692,17.67519574,17.85026387,6.188509342,2359.043876,265.7940029
35,2,1206,1475,28,2106,4941,2.698323727,14.05322979,0.6646129356,10.68032816,22.10280806,17.70916262,8.63209282,4695.790551,513.6693089
36,1,1353,1477,32,5327,17609,2.602535725,20.46684991,0.8806259369,23.48211398,48.30036087,51.83425595,19.76242113,13717.23812,1248.335879
37,1,1129,1332,32,11272,27597,2.6138556,24.52357513,1.148683444,32.24497582,93.71146047,87.60314165,61.52698089,25133.40508,2380.200228
38,1,1129,1332,32,13169,33438,2.6138556,28.11413195,1.33386583,33.62794941,91.78492729,88.57524995,49.4873233,29363.18412,2517.576903
39,1,1178,1447,31,2978,6225,2.199771166,21.12347138,1.011868275,20.18948408,28.86140698,35.06476909,14.68317112,6640.106487,904.8941895
40,1,1440,616,34,3631,13014,3.183323145,18.63701093,0.8170620705,19.60924943,15.09371406,21.72374129,9.174874345,12731.70183,1188.606889
41,2,1155,1427,32,399,706,2.126208782,9.080848118,0.471710029,6.038677133,12.47428172,nan,4.559042732,889.6583238,176.2005188
42,2,717,1641,29,439,449,2.196709633,5.183499346,0.1961340828,19.80543957,13.8082884,20.30949078,10.29392893,978.8471282,232.9430587
43,1,1178,1447,31,2085,4048,2.199771166,17.64657702,0.844820039,11.97732101,31.77280043,26.37048204,11.46387866,4648.966429,704.802075
44,2,1178,1447,31,1153,2282,2.199771166,14.02977742,0.6541444504,10.65688695,20.24314339,16.12075053,12.89469007,2570.867287,421.0893753
45,2,1353,1477,32,3525,8220,2.602535725,15.67779987,0.7173644405,16.11682786,48.2040799,41.74545512,18.38699058,7859.763387,782.4497612
46,1,1440,616,34,2874,5493,3.183323145,15.238758,0.6370758089,10.85265952,16.53002906,12.80121117,4.626925427,6408.215595,728.6936708
47,1,1129,1332,32,5487,11382,2.6138556,19.51171449,0.9593619108,32.28423145,49.93900661,62.84872147,13.00518652,12234.47424,1218.471384
48,2,1129,1332,32,1029,2476,2.6138556,10.4298248,0.4725138443,15.92228878,13.53272417,16.09967854,7.849937037,2294.381993,289.6855986
49,2,1383,1385,32,415,1003,2.310371161,11.89703199,0.5144530913,9.925830222,15.25435884,9.483199303,9.661535566,1244.183821,220.9972608
50,2,1219,1417,30,329,468,1.832253814,nan,nan,9.0610781,7.914749964,nan,1.813817569,882.9691635,215.0243619
51,2,1592,1620,32,177,1038,1.639097571,7.039436493,0.3131694283,16.06189792,10.64948414,11.90897148,6.508318809,1507.290794,253.848205
52,1,1354,449,38,1632,6415,2.545412779,15.90356865,0.783251664,15.63815017,55.94366708,44.73839902,8.555102971,7884.290308,1024.352168
53,1,1055,442,41,15472,85449,4.873427868,33.15327112,1.127553669,70.85043938,48.11497932,93.26063067,27.67504752,44739.334,2696.763872
