ncl,Npix,Nvox,maxpix,maxpix x,maxpix y,maxpix v,vmax,Tmax,meansigv,errsigv,ellipse fit a,ellipse fit b,ellipse theta,ellipse R,ellipse R error,area,perimeter
83,759,1359,6.876539,44,1634,894,1515,5.5970383,8.736502904,3.89E-01,12.54579853,25.99103148,-27.42783438,23.48099621,19.33842382,1692.357563,268.7804523
84,1185,1464,6.862862,33,766,1463,1470,5.5730224,8.683519876,3.82E-01,9.92623133,27.49917879,-31.04537042,20.27334356,27.50241616,2642.21833,352.4010375
85,453,959,6.8571944,28,1353,509,1440,5.616757,8.825127333,4.11E-01,11.02467023,13.00153205,7.335315305,8.275972322,1.798735506,1010.06321,176.2005188
86,709,1006,6.854311,18,1888,1169,1390,5.5696673,7.136654688,0.33574775,9.923354904,21.50851698,30.80012135,15.92853439,23.18817653,1580.871558,218.0108113
87,1800,7704,6.852612,44,552,1644,1510,5.6119566,19.03933473,8.49E-01,18.08456198,24.7080785,37.35498558,29.50319797,8.352351066,4013.496198,313.5771944
88,403,635,6.834923,55,750,1243,1575,5.557398,6.959036951,0.2949404792,14.07264859,8.26950317,-9.197481775,nan,nan,898.5772042,164.2547209
89,5530,14509,6.823448,39,2066,324,1490,5.392482,19.32716287,9.16E-01,48.15615033,34.75889,1.207778079,64.13001426,24.86568949,12330.35221,1081.094708
90,1240,1859,6.7954197,60,636,995,1600,5.6302667,9.054976659,4.67E-01,12.81019747,9.087929546,0.9126942385,nan,nan,2764.852936,403.1706785
91,333,601,6.781912,13,1910,450,1365,5.565494,8.660414345,0.3698604435,8.245203355,14.51449827,-37.8092269,2.442686255,0.477368014,742.4967965,134.3902262
92,1155,2047,6.7634234,35,440,1506,1475,5.4811544,6.943421556,2.88E-01,18.82837519,12.07295726,-33.77639454,17.04076091,26.34039601,2575.326727,283.7126997
93,770,1447,6.758998,30,838,1447,1450,5.62273,6.961005596,2.95E-01,11.35589566,20.74880341,15.16797099,17.67308044,104.1041052,1716.884484,244.8888566
94,1166,1842,6.7550845,41,1564,510,1505,5.605778,10.48473531,4.76E-01,16.69532004,31.52131216,-6.459033351,32.86797841,9.914479551,2599.853648,373.3061838
95,801,1960,6.7462897,55,1212,1144,1575,5.6194973,13.90621563,6.27E-01,12.29613112,12.84125243,-28.32797925,10.34237449,0.9367677657,1786.005808,265.7940029
96,1132,2782,6.7417545,25,290,1822,1415,5.7382193,10.59093245,5.02E-01,26.04206642,17.47934038,-43.16584877,29.87536886,13.35654507,2524.043164,313.5771944
97,2333,5434,6.7302856,36,303,1789,1470,5.4022536,13.92812784,0.6295738722,32.45934835,17.63152702,-39.36086398,34.66962706,17.02502328,5201.937016,418.1029258
98,462,868,6.718106,45,1440,1446,1525,5.414405,7.182061495,3.46E-01,21.63012369,9.105667806,-28.62028756,14.49732417,4.93970426,1030.130691,167.2411703
99,2022,3989,6.7159524,54,2206,855,1575,5.4197874,12.18866176,5.48E-01,26.46234211,17.44834571,22.62647444,30.16258503,11.09647251,4508.494062,570.4118488
100,2345,3881,6.7121572,40,1274,882,1495,5.3144307,8.660153631,3.73E-01,19.67431693,41.17850658,8.352334449,42.7839909,21.39092711,5228.693657,510.6828594
101,1644,3231,6.684838,47,1365,447,1535,5.4131455,12.55828514,0.633352141,13.47237427,40.53569785,33.24626717,33.65656702,27.90729444,3665.65986,415.1164764
102,1082,2057,6.6837487,31,2130,292,1455,5.5571404,8.538653184,3.43E-01,10.04040237,27.15525247,30.1787399,20.25289985,29.74693097,2412.557159,289.6855986
103,1009,2333,6.6824327,35,816,1439,1475,5.480308,15.78480955,7.37E-01,13.83415856,8.601539645,-43.87994164,2.042084604,0.477111946,2249.787591,349.414588
104,639,1024,6.6823535,37,651,1492,1485,5.313236,5.351183199,2.31E-01,29.86626166,9.544291497,-37.14094558,21.04642804,32.09347418,1424.79115,241.9024071
105,736,1637,6.669797,57,760,1237,1610,5.540379,12.77469043,6.89E-01,14.26338746,10.543526,-32.34235376,9.333655483,1.465954888,1641.074001,212.0379124
106,508,1069,6.645885,40,1217,1541,1500,5.5867786,8.85578725,4.17E-01,12.96488123,9.801267036,-32.9815081,5.051032627,1.157299333,1132.697816,182.1734177
107,465,739,6.6273427,29,1691,1299,1445,5.2667313,5.227494807,2.00E-01,7.791226824,17.07310878,12.80334604,6.421073186,0.450859206,1036.819851,197.105665
108,469,561,6.624114,59,628,952,1595,5.4088683,5.122901448,0.1767912155,20.48739869,8.096177532,-10.33389534,11.31500217,6.2511139,1045.738731,191.1327661
109,2893,5945,6.6161723,39,1643,402,1495,5.221978,12.31879414,0.5758273757,30.7606455,12.88431397,15.74285094,27.14749897,9.420363182,6450.580277,734.6665697
110,1098,1697,6.5522704,49,1530,917,1545,5.319799,7.077929749,0.321804352,26.44369189,16.08949245,-7.567333221,28.5302245,14.52263269,2448.23268,424.0758248
111,1982,3007,6.532975,46,819,572,1550,5.4632215,14.12464431,6.72E-01,32.76039605,21.16931947,16.18498261,39.01609838,12.61436773,4419.305257,507.69641
112,486,774,6.5074234,33,1314,922,1465,5.3084517,5.3356546,2.27E-01,7.966965468,18.73004808,-30.70953146,9.167302891,5.124475493,1083.643973,197.105665
113,496,1019,6.5010047,18,1934,562,1390,5.4535656,8.778445361,0.39582646,12.04733425,7.26788051,-3.761221148,nan,nan,1105.941174,167.2411703
114,1024,2674,6.48172,48,1157,987,1540,5.3422885,8.814450474,4.04E-01,22.71109479,14.76304691,-27.54921912,23.99342783,10.90875765,2283.233392,277.7398007
115,1602,2713,6.4736648,54,2021,1177,1570,5.450841,12.40771052,6.02E-01,9.780306254,10.74555125,43.0906818,nan,nan,3572.011616,450.95387
116,875,1156,6.4458513,46,1555,383,1530,5.4452467,6.886088877,2.75E-01,14.04693229,31.93609271,-32.38439522,29.582325,11.650165,1951.005096,295.6584976
117,445,656,6.4313607,41,700,664,1505,5.3602223,6.915597144,2.83E-01,16.66474309,8.250001663,-23.65451693,7.281815958,3.839773856,992.2254488,158.2818219
118,420,558,6.4267573,54,2024,1395,1570,5.3987827,nan,nan,7.860139309,13.6549875,24.36870442,nan,nan,936.4824461,173.2140693
119,2790,6168,6.403952,40,1025,821,1495,5.1950297,12.32276931,0.5779721926,23.77448522,16.08300508,-29.91648076,26.45916017,11.5489073,6220.919106,651.0459845
120,925,1210,6.391415,57,1545,1036,1585,5.383516,6.986498268,3.00E-01,12.24039588,28.69119754,34.21911247,24.85388503,20.84508956,2062.491101,274.7533513
121,559,699,6.374586,33,306,1721,1465,5.269047,12.47646684,6.15E-01,17.84457809,3.708576349,-28.79209306,nan,nan,1246.413541,247.875306
122,609,1082,6.366063,49,1347,414,1545,5.405962,8.75466543,3.94E-01,9.355451785,11.11595745,34.84682637,nan,nan,1357.899547,200.0921145
123,1299,1680,6.3616757,40,2218,1169,1500,5.322842,6.929181824,2.87E-01,17.9980288,39.16430365,13.47969196,39.39906369,16.96179098,2896.406423,427.0622743
124,234,509,6.3242073,54,1245,1350,1570,5.409905,7.099778958,3.27E-01,12.98342384,6.010206544,-17.55698454,nan,nan,521.7545057,116.4715293
125,972,1438,6.3043747,36,1470,1006,1480,5.2888184,5.225748669,2.00E-01,14.35926472,40.0653612,28.84344565,34.78380954,7.671716269,2167.287947,361.3603859
126,1993,3556,6.291695,35,250,1821,1475,5.263055,14.0944627,0.6649910336,14.05031594,10.11656335,42.93694032,8.082674915,2.171823164,4443.832179,474.8454658
127,411,561,6.266854,27,1929,528,1435,5.404657,7.017464689,3.07E-01,14.04064388,5.297002301,-35.39193851,nan,nan,916.4149651,176.2005188
128,668,1010,6.26322,57,2293,904,1585,5.280925,8.751758492,3.91E-01,6.853143176,18.04296946,3.848232615,4.058679919,1.817102195,1489.453033,253.848205
129,1506,3548,6.2502933,44,2033,1593,1510,5.3062115,8.815373306,4.05E-01,17.7905202,26.66702288,12.26227108,30.71366418,7.34017182,3357.958485,310.5907449
130,705,1764,6.22163,41,2283,1143,1505,5.3543987,12.38968482,0.6013270636,10.1312234,15.14825689,24.63222226,9.760434765,2.762946261,1571.952677,223.9837103
131,676,1168,6.2119656,45,1934,416,1525,5.3102446,8.770382599,3.97E-01,10.80904099,17.20638066,-31.78984967,13.46030634,4.790014708,1507.290794,203.078564
132,468,703,6.2105985,59,1673,1325,1595,5.167401,5.202336297,0.194166681,22.03197593,7.541660404,-23.74735921,11.34858759,10.81348684,1043.509011,197.105665
133,516,829,6.208962,44,1298,1247,1520,5.2093725,6.99476862,2.99E-01,6.932200561,14.58934846,43.55639716,nan,nan,1150.535577,206.0650135
134,928,1178,6.207446,47,704,955,1535,5.140922,6.930477309,2.85E-01,22.98531611,9.83359775,1.056222528,16.94077775,38.04752623,2069.180262,289.6855986
135,939,2128,6.188761,47,994,1586,1535,5.30815,12.31030432,0.573772602,10.73362864,29.11708006,16.66339974,22.70601264,17.73411099,2093.707183,322.5365428
136,1027,1904,6.1771674,41,1745,1887,1505,5.282308,6.962944658,2.92E-01,14.24190568,23.26267413,35.50872116,23.77325434,11.5489875,2289.922553,337.4687901
137,471,600,6.167055,45,1603,669,1525,5.104262,nan,nan,8.994383884,16.47163658,37.48802597,9.011861428,4.127318545,1050.198172,212.0379124
138,246,553,6.143152,41,1635,497,1505,5.2898865,6.96867526,2.94E-01,11.02403309,6.83082371,-29.11623481,nan,nan,548.511147,113.4850799
139,1006,1875,6.134705,42,2075,1245,1510,5.253799,8.889651287,4.22E-01,28.62520374,9.40929413,-19.73152622,20.03602957,23.07312866,2243.09843,316.5636439
140,1057,1536,6.1152577,39,1124,237,1495,5.1427464,8.839235714,4.10E-01,23.13606291,16.7005179,-23.06373182,26.65908761,10.34535068,2356.814156,346.4281386
141,359,612,6.0829635,61,2232,828,1605,5.3070827,7.159303907,3.42E-01,7.994632833,11.20294696,-17.95304385,nan,nan,800.4695194,164.2547209
142,473,605,6.0437193,36,692,861,1480,5.145677,5.188643504,1.91E-01,16.07876178,5.094403867,-35.73507424,nan,nan,1054.657612,209.0514629
143,1082,1386,6.0194964,53,1788,1250,1565,5.179271,8.745264969,3.87E-01,24.40308232,10.11000467,-32.76318157,18.48383417,37.37211363,2412.557159,504.7099605
144,623,778,6.0166254,51,1830,1189,1555,5.3141575,8.985761374,4.48E-01,6.629611638,15.62540631,-10.60867191,nan,nan,1389.115628,259.8211039
145,1757,2921,5.9964848,35,1065,1321,1495,5.231718,12.39553829,5.91E-01,26.17739722,11.19377567,18.62921397,21.54102912,16.06928829,3917.618233,522.6286573
146,907,1739,5.9742875,41,2307,2020,1505,5.2360115,7.131405055,3.32E-01,10.29232329,22.00784021,34.6548352,16.97843945,23.62351248,2022.35614,301.6313965
147,1916,3101,5.9689417,35,2071,228,1475,5.1100683,10.67905655,5.16E-01,14.2746052,35.9447571,16.67351179,32.33461788,17.81884756,4272.14373,582.3576467
148,2290,4335,5.9529724,39,2130,1637,1505,5.2049713,12.40317186,5.96E-01,15.15538673,49.24300041,11.67347499,40.76423852,26.49349238,5106.059051,606.2492425
149,928,1828,5.9475856,52,2052,1090,1555,5.2221203,10.70614253,5.28E-01,22.65617573,8.176748609,-27.32621532,13.38840129,13.18002289,2069.180262,283.7126997
150,1222,2280,5.945955,29,268,1835,1460,5.13486,12.43715173,6.02E-01,25.07382827,12.11474564,8.170754655,22.18991987,19.93891446,2724.717974,388.2384311
151,2836,6478,5.9432945,40,2103,437,1500,5.112457,17.70393108,0.8531357081,21.46790956,49.60614172,35.33454041,50.03690575,14.11596525,6323.486231,806.341357
152,728,812,5.928743,41,1384,955,1500,5.1518397,5.250442959,2.07E-01,21.050232,11.95872242,23.04307946,18.83913632,22.41938505,1623.23624,247.875306
153,627,986,5.9229884,39,1820,1331,1495,5.235739,6.978054448,0.2972353805,9.389001411,12.05761657,18.84321197,nan,nan,1398.034509,283.7126997
154,765,961,5.902916,38,2158,1218,1490,4.9764504,7.094100559,0.3244083758,28.37780388,11.96864161,-10.62399655,24.23225306,22.34994322,1705.735884,394.2113301
155,434,855,5.8890734,56,488,1048,1580,5.215905,10.56473557,4.91E-01,9.494114703,10.23898991,1.771240085,nan,nan,967.6985276,176.2005188
156,367,555,5.875351,45,262,1627,1525,5.1358204,5.228855627,2.03E-01,12.59326088,9.742454532,40.96988142,3.732494561,0.4198453154,818.3072803,164.2547209
157,501,776,5.7814345,62,2009,1451,1615,5.202438,7.074112178,3.19E-01,7.786181059,22.82198138,14.79800256,12.6205774,13.43854143,1117.089775,223.9837103
158,486,770,5.7400637,36,1092,1253,1475,5.0939164,nan,nan,11.23036238,21.18038336,8.68574714,17.83990706,46.99165342,1083.643973,164.2547209
159,425,526,5.730436,57,2202,872,1590,5.1096077,5.300972152,0.2180935735,13.60898792,7.197943588,-38.04634035,nan,nan,947.6310466,191.1327661
160,423,510,5.721659,42,2409,1138,1510,5.162278,nan,nan,9.562741312,18.14652278,-26.11387509,12.176701,5.474663568,943.1716064,164.2547209
161,853,1246,5.7213798,48,980,708,1545,5.1134095,7.017573666,3.05E-01,12.82228548,18.37989803,-35.47682042,17.67689657,55.32648683,1901.951254,268.7804523
162,434,620,5.522875,29,1919,572,1445,5.0296097,7.059471492,3.15E-01,13.65365472,10.66356692,23.37573143,8.629075702,2.363875636,967.6985276,188.1463166
163,556,873,5.5205216,39,1900,1943,1495,5.1271176,8.875219955,4.23E-01,9.372471194,13.67488434,44.06388082,5.329805589,1.53973995,1239.724381,197.105665
164,425,555,5.2772403,40,405,1496,1500,4.954663,6.996008588,3.00E-01,19.59798168,8.59504928,-39.31560449,11.61188967,8.451098965,947.6310466,191.1327661
