Identifier,,Lat,Lon,MajAxis,MinAxis,PosAng,VLSR,vel disp,d,Reff,N0H2,mass,density,n,alphavir,xrad,vel disp not fwhm
G113.290-00.734-038.53,,113.29,-0.734,1828,538,174,-38.53,5.39,3.01,17.05,1.40E+21,54894.7,60.1,38,10.4,32.5655,2.288922252
G113.290-00.430-004.07,,113.29,-0.43,211,89,-153,-4.07,0.7,0.34,0.27,4.70E+20,5.3,23.8,972,28.6,0.5157,0.2972626301
G113.292+03.424-007.51,,113.292,3.424,159,126,-138,-7.51,1.59,0.77,0.62,6.60E+20,43.5,36.2,640,41.5,1.1842,0.6752108312
G113.296+03.315-060.15,,113.296,3.315,140,54,-164,-60.15,1.12,4.87,2.37,4.60E+20,364.4,20.6,95,9.5,4.5267,0.4756202082
G113.305-01.218-001.14,,113.305,-1.218,1094,829,133,-1.14,2.16,0.26,1.41,5.20E+20,112.9,18.2,141,67.1,2.6931,0.9172675443
G113.313+01.684+000.55,,113.313,1.684,450,174,-157,0.55,1.18,0.31,0.49,6.00E+20,18.5,24.5,547,43,0.9359,0.5010998622
G113.342+01.792-016.17,,113.342,1.792,130,69,-140,-16.17,1.59,0.82,0.43,7.20E+20,27.9,47.5,1198,45.6,0.8213,0.6752108312
G113.350+00.980-011.71,,113.35,0.98,133,78,163,-11.71,1.09,0.87,0.49,3.70E+20,14.3,18.7,414,47.4,0.9359,0.4628803812
G113.357+01.349-011.88,,113.357,1.349,89,35,178,-11.88,1.16,0.77,0.23,5.10E+20,8.6,51.6,2440,41.6,0.4393,0.4926066442
G113.369-00.760-037.79,,113.369,-0.76,116,45,177,-37.79,0.81,2.94,1.17,3.90E+20,106.9,25,234,8.3,2.2347,0.3439753291
G113.387+03.285-068.62,,113.387,3.285,173,76,92,-68.62,0.73,5.68,3.67,4.10E+20,768.8,18.1,53,3,7.0097,0.3100024571
G113.441+03.940-008.77,,113.441,3.94,242,136,66,-8.77,0.77,0.82,0.84,6.40E+20,81.9,36.6,474,7.1,1.6044,0.3269888931
G113.442+01.175-012.61,,113.442,1.175,334,201,-166,-12.61,1.15,0.82,1.21,6.40E+20,166.4,36.4,329,11.1,2.3111,0.4883600352
G113.452+00.942-059.11,,113.452,0.942,208,87,156,-59.11,0.86,4.78,3.63,1.00E+21,3814.1,91.9,276,0.8,6.9333,0.3652083741
G113.477+00.371+000.48,,113.477,0.371,452,226,67,0.48,0.94,0.28,0.51,4.40E+20,18.1,21.8,463,28.9,0.9741,0.3991812461
