ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,delta vel disp,lco,delta l,mvir,delta mvir,nvox,tpk
C486,84.538,-69.529,251.7,6.9,4.3,39,,,0.65,0.36,6.8,0.26,0,0,56,1.66
C487,84.546,-71.264,218,7.9,5.6,142,8.6,0.59,0.87,0.57,4.8,0.97,6800,1290,42,1.06
C488,84.564,-71.322,224.9,8.1,4.7,78,5,0.58,0.79,0.51,11.2,0.53,3200,1130,93,1.05
C489,84.573,-69.51,253.8,4.5,4.3,59,,,0.96,0.31,6.7,0.27,0,0,57,1.57
C490,84.574,-69.578,261.7,10.6,6.1,106,11.7,0.41,2.58,0.41,43.5,0.58,80500,900,106,1.93
C491,84.577,-71.269,215.5,10,3.2,131,,,0.65,0.52,6.1,0.57,0,0,44,1.21
C492,84.588,-70.046,240,12.2,5.9,174,12.3,0.38,1.61,0.4,27.4,0.45,33000,920,100,1.5
C493,84.604,-70.11,239.1,27.1,7.2,175,23.3,0.31,3.53,0.32,144.6,0.34,302400,830,207,2.48
C494,84.617,-71.3,219.6,9.8,7.6,176,13.8,0.28,0.83,0.38,16.8,0.41,9900,780,136,1.12
C495,84.638,-70.188,247.1,10.8,9.2,142,16.8,0.25,1.84,0.23,27.9,0.32,59000,570,232,1.37
C496,84.64,-69.277,250.5,8.7,4.7,9,5.1,0.35,1.48,0.27,17,0.24,11600,740,133,1.47
C497,84.643,-69.104,247.7,7.5,4.2,36,,,3.22,0.65,22.3,0.93,0,0,40,1.13
C498,84.645,-70.302,221.1,6.1,5.5,61,6.5,1.06,0.81,0.88,9.4,0.87,4400,2200,31,1.63
C499,84.659,-69.125,246.2,8,4.8,173,5.5,0.89,1.2,0.51,8.7,1.14,8200,1180,33,1.05
C500,84.661,-69.421,249.8,14.6,6.3,32,14.6,0.26,1.11,0.31,18.1,0.2,18600,660,176,1.69
C501,84.668,-70.165,233.7,11.5,5.3,17,10,0.78,1.74,0.47,57.6,0.72,31500,1220,75,2.33
C502,84.669,-70.292,218.6,9.2,8,139,13.8,0.25,0.83,0.25,25.9,0.48,10000,490,170,2.07
C503,84.672,-71.285,215.8,9.9,3.5,56,,,1.24,0.45,7.5,0.59,0,0,48,1.05
C504,84.675,-70.149,237.2,11.1,7.9,117,15.4,0.97,1.62,1.88,19.1,1.36,42400,3840,12,2.21
C505,84.676,-70.144,246.1,10.7,6.8,29,13.2,0.59,0.43,0.78,7.5,0.75,2600,1770,34,1.79
C506,84.676,-70.113,244.8,10.7,4.2,45,,,0.75,0.61,11.9,0.58,0,0,73,1.07
C507,84.681,-69.239,250.1,7.4,4.2,86,,,1.09,0.38,7.6,0.34,0,0,68,1.49
C508,84.687,-69.059,250.1,20.3,12.3,144,28.7,0.05,4.63,0.07,170,0.03,640500,140,2057,2.1
C509,84.706,-70.153,244.2,11.1,7.7,126,15.1,0.62,1.25,0.36,31.6,0.67,24600,1040,144,1.39
C510,84.722,-69.575,248.2,13.4,6,113,13.4,0.73,2.48,0.75,59.1,0.87,85600,1810,65,1.88
C511,84.729,-69.927,241.6,12.1,2.4,105,,,1.51,0.52,12.7,0.71,0,0,84,1.08
C512,84.735,-70.23,224.9,8.9,6,126,10.4,0.16,1.43,0.12,54.1,0.06,22100,290,394,4.1
C513,84.738,-69.581,252.2,10.7,4.9,145,7.3,0.81,3.44,0.73,38.6,0.63,89400,1520,29,2.11
C514,84.759,-69.757,218.5,7.4,5.5,131,8,0.76,1.22,0.61,10.1,0.65,12400,1460,46,1
C515,84.769,-69.505,256.1,13.4,9.2,52,19.2,0.19,1.96,0.18,61,0.22,76400,430,298,2.12
C516,84.778,-69.963,232,4,3.3,78,,,1.76,0.52,13.5,0.75,0,0,100,1.2
C517,84.798,-70.182,245.8,7.7,4.4,152,,,1.56,0.59,5.5,0.62,0,0,42,1.25
C518,84.8,-69.721,241.8,9.7,5.5,140,9.5,0.7,2.28,0.48,25,0.65,51600,1100,64,1.41
C519,84.81,-69.512,251.3,7.2,5.3,60,7.3,1.37,1.3,0.76,8.5,1.24,12800,2270,13,1.27
C520,84.812,-69.128,265.9,8.7,3.6,9,,,0.88,0.38,4.4,0.65,0,0,62,0.99
C521,84.819,-70.347,218.9,8.8,7.3,118,12.5,0.2,2.67,0.17,34.6,0.14,93100,340,318,1.27
C522,84.823,-69.019,255.9,7.6,8.2,46,12.2,0.46,0.82,0.9,9.9,0.46,8500,1880,96,0.75
C523,84.829,-69.92,232.8,11.9,9,133,17.5,0.26,2,0.19,64.9,0.24,73300,460,290,1.59
C524,84.846,-70.066,240.1,16.3,6.8,20,16.8,0.32,1.82,0.42,63.1,0.4,58000,900,229,1.07
C525,84.848,-69.665,241.2,8.3,7.3,48,11.9,0.6,2.5,0.33,56.6,0.38,77600,890,141,2.13
C526,84.848,-69.944,225,4.5,3.9,41,,,0.85,0.61,6.7,0.87,0,0,51,0.99
C527,84.85,-69.54,254.8,6.8,5.8,163,8,0.45,1.65,0.23,21.5,0.29,22500,650,138,1.79
C528,84.859,-69.721,238.1,5.8,6.6,119,7.7,1.34,0.7,1.04,3.8,0.79,3900,2310,19,2.14
C529,84.862,-69.601,241.2,7,7.2,79,10.3,0.44,1.17,0.36,11.5,0.41,14600,880,91,1
C530,84.867,-71.538,206.4,11.2,3.2,45,,,1.34,0.29,5.9,0.65,0,0,79,1.11
C531,84.88,-69.766,235.9,10.6,12.1,33,19.8,0.14,2.34,0.15,477.2,0.12,112800,360,847,5.3
C532,84.898,-69.816,231.4,8.1,5.7,69,9,1.25,1.08,0.77,7.4,0.8,10900,2380,33,0.98
C533,84.899,-70.134,232.2,28.9,15.8,16,39.7,0.06,5.85,0.04,753.2,0.04,1412700,120,3472,4.11
C534,84.908,-69.994,241.4,11,6.8,41,13.5,0.75,0.8,0.75,7.6,1.03,8900,1870,37,1.14
C535,84.909,-69.556,219.9,6.4,3.6,76,,,0.55,0.95,5.7,0.41,0,0,49,1.16
C536,84.913,-69.301,267.4,11.8,7.5,128,15.3,0.22,2.45,0.17,31.6,0.16,95600,420,280,1.81
C537,84.915,-71.529,213.2,9.2,3.4,118,,,1.26,0.49,3,0.49,0,0,31,0.77
C538,84.917,-69.646,237.2,8.7,6.2,51,10.7,0.62,2.12,0.39,64.7,0.51,50000,950,88,2.35
C539,84.925,-70.059,233.3,20.2,6.3,43,17.6,0.54,0.61,1.19,26.3,1.29,6800,2280,28,1.51
C540,84.925,-70.455,226.3,8.6,6.3,150,10.7,0.39,2.84,0.21,21.8,0.26,89700,710,165,1.33
C541,84.926,-69.98,237.4,11.9,7.5,41,15.5,0.16,1.42,0.15,43,0.19,32500,300,404,2.21
C542,84.93,-69.485,224.1,7.6,4.9,63,5.7,0.78,1.05,0.42,8.6,0.34,6500,1070,73,1.31
C543,84.932,-69.796,239.4,10.7,7.6,174,14.6,0.52,1.62,0.58,74.6,0.66,39800,1260,90,2.22
C544,84.942,-70.321,244.2,9,7.5,148,12.9,0.3,1.51,0.22,21,0.26,30500,580,180,1.31
C545,84.945,-71.157,229.7,16.3,13.2,35,26.6,0.06,3.76,0.06,317.7,0.02,391400,160,2090,4.81
C546,84.952,-69.216,244,10,4.1,66,,,0.69,0.36,7.4,0.49,0,0,75,1.61
C547,84.963,-70.048,230.6,8.7,4.8,115,6,0.65,1.8,0.46,39.1,0.54,20400,1080,98,1.76
C548,84.965,-69.622,229.7,14.6,9.9,111,21,0.15,2.41,0.21,89.3,0.16,127400,520,498,1.69
C549,84.969,-70.235,214.6,4.6,4.4,102,,,1.63,0.56,7.8,0.45,0,0,38,1.22
C550,84.969,-69.427,239.7,4.3,4,4,,,0.63,1.1,6.3,0.87,0,0,41,1.02
C551,84.971,-70.458,231.6,8.5,3.9,86,,,1.12,0.49,6.5,0.79,0,0,46,0.99
C552,84.976,-69.584,227.4,10.3,7,178,13.2,0.43,1.64,0.35,19.6,0.3,37100,910,89,1.75
C553,84.977,-70.184,232.3,9.5,3.2,10,,,1.5,0.32,10.1,0.36,0,0,51,1.14
C554,84.997,-70.266,245.8,5.9,3.8,162,,,2.13,0.35,8,0.5,0,0,78,1
C555,85.001,-69.938,231.7,6.5,3.3,40,,,0.95,0.69,4.5,0.64,0,0,41,1.27
C556,85.003,-69.993,231.5,11.9,3.5,9,,,1.22,0.47,14.8,0.29,0,0,81,1.3
C557,85.004,-71.105,260.8,10.5,5.7,146,10.8,0.39,1.42,0.28,17.7,0.23,22500,700,169,1.31
C558,85.004,-69.311,265.2,6.1,4.8,135,4.5,0.66,0.86,0.28,10,0.17,3500,860,102,1.77
C559,85.013,-70.247,248.8,8.4,4.9,59,6.2,0.34,1.14,0.26,10.6,0.39,8500,590,120,1.34
C560,85.014,-69.636,225.1,5.2,5.5,77,5.1,1.16,0.77,0.65,4.5,1.01,3100,1690,38,0.94
C561,85.018,-71.205,230.1,14.6,7.5,60,17.3,0.32,2.04,0.49,49.9,0.32,74600,1090,166,1.44
C562,85.019,-71.467,215.5,9.2,4.2,31,,,2.32,0.43,8.2,0.7,0,0,67,0.99
C563,85.025,-71.554,210.6,11.5,6.6,7,13.4,0.18,2.21,0.2,42.6,0.19,68000,500,288,1.92
C564,85.027,-71.546,216.7,7.5,6.6,54,10.2,0.78,1.13,1.1,15.9,0.8,13400,2490,55,1
C565,85.027,-70.828,230.7,5.7,4.6,175,,,0.88,0.35,5.5,0.52,0,0,72,1.58
C566,85.029,-69.906,231.6,7.2,3.5,135,,,0.88,0.47,8.6,0.86,0,0,48,0.96
C567,85.031,-69.958,226.2,8.1,6.1,134,9.9,0.4,1.6,0.35,16.3,0.41,26200,880,161,1.4
C568,85.042,-69.747,234.8,13.6,6.2,80,14,0.19,2.37,0.17,192.4,0.25,81500,410,388,3.98
C569,85.042,-69.231,262.2,12.8,5.3,121,10.6,0.4,2.16,0.48,12.3,0.44,51400,1000,76,0.93
C570,85.046,-69.682,236,6.1,4.5,9,,,1.38,0.21,11.5,0.35,0,0,98,1.48
C571,85.057,-70.574,237.2,6.8,3.6,170,,,1.99,0.53,7.7,0.38,0,0,66,0.9
C572,85.067,-70.69,227.8,9.1,4.4,91,,,1.89,0.29,26.8,0.48,0,0,207,1.97
C573,85.071,-69.296,282.2,4.7,5.7,163,3.6,1.4,1.4,0.36,19,0.41,7400,1660,130,1.09
C574,85.072,-71.19,212.8,6.5,5.7,47,7.5,0.85,1.48,0.51,24.7,0.4,17100,1500,94,1.47
C575,85.095,-71.22,216.9,12.3,6.3,174,13.3,0.18,1.28,0.21,38.7,0.12,22400,480,247,2.08
C576,85.095,-69.05,266.6,10.9,7.1,30,14,0.28,1.01,0.36,14,0.26,14800,660,130,1.29
