ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,delta vel disp,lco,delta l,mvir,delta mvir,nvox,tpk
C661,86.505,-69.601,242.9,16.6,6.9,29,17.4,0.51,0.91,1.03,10.3,0.72,14900,2330,33,1.46
C662,86.523,-71.118,224.1,4.3,3.9,45,,,0.99,0.59,3.1,0.63,0,0,38,1.11
C663,86.524,-69.595,240.1,10.2,5.6,40,10.2,0.53,1.46,0.47,22.6,0.48,22500,1170,85,1.19
C664,86.548,-69.596,237.3,11.2,8.1,22,15.8,0.67,0.88,0.72,14.3,0.75,12700,1500,45,1.12
C665,86.567,-69.628,236,27.2,10,52,29.4,0.6,1.26,1.41,29.3,1.07,48800,2640,26,1.45
C666,86.59,-69.64,237.4,15.2,4.6,156,,,1.62,0.69,25.4,0.91,0,0,37,1.42
C667,86.606,-69.603,233.4,13.3,8.7,150,18.4,0.44,2.35,0.31,64,0.42,105500,890,104,2.1
C668,86.646,-69.58,231,7.5,4.7,53,4.8,0.49,1.14,0.31,26.5,0.58,6400,770,85,2.72
C669,86.659,-70.718,218.9,15.4,7.2,97,17.2,0.18,1.43,0.14,39.7,0.13,36900,310,359,1.71
C670,86.779,-69.838,226.3,12.1,4.7,170,6.5,0.32,0.73,0.28,9.8,0.36,3600,600,109,1.44
C671,86.784,-70.671,218.1,10.1,7.6,131,14,0.12,2.12,0.11,110.9,0.09,65500,260,520,3.22
C672,86.801,-70.769,222,12.2,9.1,38,18,0.2,3.04,0.19,88.1,0.21,172800,520,421,2.01
C673,86.827,-69.89,222.4,8.7,6.8,35,11.5,0.41,1.02,0.53,52.1,0.59,12400,1080,77,2.68
C674,86.838,-70.773,216.2,11.1,7,144,13.9,0.51,0.96,0.53,19.3,0.84,13200,1200,90,1.54
C675,86.853,-70.712,218.1,18.9,6.4,41,17.1,0.33,1.4,0.38,55.2,0.32,34800,990,120,2.28
C676,86.88,-69.875,219.9,9.8,3.6,108,,,3.45,0.71,71.2,1.06,0,0,43,2.33
C677,86.896,-69.973,224.2,9.3,7.8,55,13.6,0.15,1.8,0.12,39.2,0.09,45600,260,398,1.91
C678,86.9,-70.736,213.5,12.3,6.3,129,13.3,0.41,1.46,0.45,41.2,0.28,29500,1060,134,1.92
C679,86.941,-70.673,217.8,12,7.9,48,16.1,0.49,2.44,0.47,103,0.3,99400,1180,231,1.81
C680,86.941,-70.118,227,11.1,9.6,102,17.6,0.17,1.97,0.15,52.8,0.17,71500,390,375,1.63
C681,87.004,-69.915,223,13.8,9.6,20,20,0.18,1.62,0.26,75.6,0.25,54500,600,221,2.7
C682,87.039,-70.069,220.2,11.6,5.1,107,9,0.36,1.27,0.41,16.1,0.36,15300,920,124,1.22
C683,87.055,-70.652,217.8,10,7.1,158,13.2,0.16,2.94,0.22,74.6,0.19,118700,480,312,2.89
C684,87.06,-69.879,224.2,10.2,7.2,83,13.6,0.24,1.63,0.26,75.7,0.26,37400,540,200,2.95
C685,87.084,-70.616,212.8,11,8.2,26,15.7,0.21,2.04,0.21,32.7,0.23,68400,480,279,1.5
C686,87.098,-70.618,208,6.1,4.9,7,4.6,1.06,1.26,0.48,10,0.35,7600,1500,62,1.18
C687,87.1,-70.139,221.7,10.1,8.8,35,15.7,0.17,1.29,0.17,64.4,0.21,27200,380,253,3.11
C688,87.122,-70.12,224.2,11.4,8.5,164,16.5,0.8,0.47,1.54,19.2,1.23,3700,2750,15,2.19
C689,87.151,-70.101,226.6,8.6,6.1,48,10.3,0.56,1.19,0.53,37,0.53,15100,1230,71,2.71
C690,87.164,-70.578,208.2,10.7,5.8,169,11.1,0.25,1.24,0.22,23.9,0.2,17700,520,202,1.63
C691,87.178,-70.036,220.3,14.7,6,127,14,0.4,1.47,0.28,22,0.21,31400,670,135,1.56
C692,88.8,-68.103,278.1,6.4,4.7,148,3.8,0.72,0.99,0.36,11.1,0.35,3900,1050,78,1.86
C693,88.864,-68.146,285.8,12.2,9.5,134,18.5,0.96,1.68,0.62,72.3,0.9,54300,1760,46,2.72
C694,88.957,-68.175,283.9,13.9,8.1,151,17.9,0.27,1.36,0.39,106.2,0.32,34200,880,191,2.91
