ncl,mass,mass error,R,velocity disp,R take 2,area,density,velocity metric
63,140000,130000,100.746546,2.948555439,53.52045418,8998.900568,15.55745604,0.1624421786
64,300000,200000,116.499556,2.438027723,79.5162739,19863.78083,15.10286499,0.07475173177
65,130000,90000,104.3893507,4.163409561,60.16307602,11371.29531,11.43229478,0.2881165711
66,110000,90000,100.9613121,2.846748878,53.92787976,9136.430697,12.03971262,0.1502743889
67,90000,140000,95.44729718,2.744809497,42.58856907,5698.17745,15.79452392,0.1769014395
68,50000,70000,95.18217554,1.607476027,41.98467358,5537.725632,9.028977476,0.06154577271
69,410000,140000,119.88981,4.365086388,84.45540845,22408.08824,18.29696472,0.2256099346
70,370000,180000,118.4204228,5.27105105,82.33377385,21296.38635,17.37383957,0.3374554314
71,90000,60000,103.9561761,1.712886212,59.40027959,11084.7742,8.119245222,0.04939335632
73,100000,80000,102.5929166,2.335375596,56.95473128,10190.82836,9.812744997,0.09575989653
74,180000,130000,104.9584039,4.062508976,61.15540054,11749.50317,15.31979672,0.2698695297
75,80000,40000,99.77437817,1.394266537,51.64728082,8380.014985,9.546522308,0.03763952613
76,350000,50000,134.1297377,1.607476027,103.8658376,33891.8541,10.32696526,0.02487804688
77,370000,90000,133.252154,2.540468299,102.7179912,33146.89921,11.16243174,0.06283202293
78,170000,270000,155.0287926,2.335375596,129.9808894,53077.30719,3.202875372,0.04195985425
79,130000,100000,94.49701868,3.961562719,40.39036043,5125.135242,25.3651843,0.3885575422
80,820000,130000,185.3702688,5.27105105,165.3246676,85866.78235,9.549676575,0.1680570696
81,620000,70000,139.7707643,3.456006247,111.1282998,38797.09539,15.98057777,0.1074791858
82,380000,140000,148.5235892,4.667331055,122.0635937,46808.22542,8.118231284,0.1784641802
83,60000,50000,90.0166459,1.607476027,28.212875,2500.60193,23.99422286,0.09158865154
84,100000,130000,104.1296622,2.438027723,59.70656761,11199.38265,8.929063606,0.09955318847
85,90000,70000,97.32002127,3.050242478,46.67543482,6844.261866,13.14970142,0.1993335297
86,1280000,80000,223.3578889,4.969303691,207.4191983,135159.8731,9.470266364,0.1190534887
87,280000,160000,143.2529111,3.151821565,115.5224234,41925.90582,6.678448433,0.08599178311
88,160000,90000,108.343281,2.540468299,66.85508968,14041.672,11.39465443,0.09653684124
89,330000,120000,162.531617,4.365086388,138.9344364,60641.46436,5.441821095,0.1371436749
90,400000,130000,138.4994099,3.658412111,109.5079231,37673.93267,10.6174209,0.1222192769
91,1110000,80000,135.9077501,4.969303691,106.1758424,35416.14634,31.34163693,0.2325762491
92,110000,80000,96.18199696,2.438027723,44.22739101,6145.150372,17.90029427,0.134395881
93,60000,60000,94.47791562,1.817685115,40.34517463,5113.674399,11.73324606,0.08189279654
94,70000,60000,110.8792431,4.264267719,70.93243557,15806.642,4.428518088,0.2563563345
95,500000,120000,189.8250946,3.354695094,170.3564381,91173.15315,5.484070505,0.06606136697
96,190000,110000,113.2788442,2.438027723,74.66577071,17514.30778,10.84827345,0.07960781924
97,60000,70000,88.80538576,2.642721926,24.02249603,1812.95128,33.09520817,0.2907266243
98,80000,100000,97.69025816,2.948555439,47.4505871,7073.478751,11.30985231,0.1832217409
99,440000,140000,142.5835423,4.465868244,114.6825227,41318.48109,10.64898777,0.1739060033
100,230000,150000,143.617849,2.540468299,115.9794172,42258.27031,5.442721585,0.05564762554
