ncl,v,a/b,pa,r,vel disp,mlum,mvir,LCO,Tmax
DCL119C-A5,109.5,3.66,61.8,10.4,4.8,80400,45100,69.9,5.139
DCL119C-A6,109,4.22,85.1,15.5,3.4,32300,34400,28.2,2.331
DCL122-A1,95,2.85,86.7,18.6,4.9,33900,84500,30.6,1.717
DCL122-A2,107,1.5,64.1,37.4,6.9,243000,331000,219,4.965
DCL122-A3,111.3,3.89,55.3,11.9,3,32800,20000,29.6,2.775
DCL126-A1,99.9,1.96,30.1,63.4,10,419000,1180000,352,4.031
DCL127-A2,94.1,3.71,-53.2,12.9,3.3,26700,26500,22.4,2.646
DCL127-A4,93.1,2.59,87.7,11.8,2.4,39900,13100,33.3,4.595
DCL127-A5,96.4,1.4,-27.1,14,3.6,36000,33500,30.2,2.117
DCL127-A7,99.4,4.2,76.4,16.7,3.4,68400,36400,57.5,2.875
DCL127-A8,99.6,5.06,80.6,18.4,2.4,64100,20200,53.8,3.263
DCL129-A1,112,2.86,-74.5,13,3.4,22500,27800,16.4,2.354
DCL129-A2,113.4,1.7,21.5,34.4,4,148000,104000,108,3.42
DCL130-A2,94.9,3.02,58.4,10.8,2.2,18700,9800,14.8,1.885
DCL130-A4,104.6,2.81,-10.3,19.2,3.5,73600,44800,58.4,2.261
DCL137A-A3,84.8,21.08,88.4,5.8,3,38700,9800,27.6,2.92
DCL137A-A7,94.8,4.71,-84.8,6.6,4.3,46600,23300,33.3,4.142
DCL137A-A8,97.1,4.91,28.2,25.2,4.8,207000,108000,147,5.904
DCL137A-A9,98.3,1.22,65.2,19.3,4,80200,57100,57.3,2.763
DCL137B-A1,88.7,27.08,3.3,6.1,3.8,46700,16200,33.4,2.111
DCL137B-A3,95.2,1.69,-9.4,20.5,9.8,329000,365000,235,6.476
DCL137B-A4,94.6,4.22,-80.1,9.1,4,50900,27800,36.4,3.832
DCL137B-A5,96.9,2.46,31.7,20.5,5.8,173000,130000,123,5.999
DCL137B-A6,96.9,1.15,40.6,12,5.5,13700,67800,9.8,0.985
DCL137C-A1,84.2,3.05,89.6,19.6,3.6,73800,47800,51.7,3.078
DCL137C-A2,89.3,4.77,-28.9,7.5,3.2,22700,14200,16,1.724
DCL137C-A4,96.7,2.71,3.1,57.9,5.1,451000,281000,316,5.997
DCL137C-A5,97.9,3.39,62.4,12,4.2,14400,40000,10,1.005
DCL137C-A6,96.5,2.47,-3.1,6.6,2.6,11200,8100,7.8,1.02
DCL139-A1,86.2,1.47,-80.1,40.1,6.1,247000,281000,161,2.451
DCL139-A2,88.6,2.97,-50.1,10.9,1.8,12400,6400,8.1,1.501
DCL140-A1,85.7,1.08,-68,35.3,6.3,106000,265000,64.4,3.3
DCL140-A2,83.8,7.43,55.4,3.7,3.6,15700,8800,9.6,1.468
DCL140-A3,86,3.15,-28,21.6,3.5,131000,49200,79.7,4.021
DCL140-A7,92.4,2.44,-81.6,3.8,1.1,15100,900,9.2,2.745
