ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,COmax,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,area,perimeter
1,2,1315,1341,43,6852,82128,28.44033241,79.07971369,3.653573193,19.68771336,31.32714168,40.36951437,10.67228597,15278.04219,961.6367295
2,2,685,1613,24,10517,99359,23.88297844,50.86102655,1.715195078,37.91383814,60.55932256,77.89056976,15.10882333,23449.96639,1101.999855
3,2,1119,1357,33,29729,253084,20.65579987,51.07993884,2.120141057,73.52016216,62.28240006,109.9971413,26.57006252,66287.34914,2281.647395
4,2,762,1669,13,4659,27013,19.6638546,33.89470721,1.31035496,36.75433353,22.49644343,46.74193731,14.69767054,10388.26599,803.3549075
5,2,1169,1434,30,28119,219102,19.24252319,48.41517345,1.718523767,68.99338687,66.14739235,109.8134655,24.41442036,62697.49977,2245.810002
6,2,1338,1463,30,15439,80620,17.9478054,41.60924965,1.677653744,71.13281174,44.7754718,91.73827591,26.23146432,34424.64877,1660.465906
7,2,1059,445,40,11281,56198,17.75162125,30.86823003,1.186999805,30.59011475,51.44115359,64.48243119,22.158061,25153.47256,1251.322328
8,2,1276,1478,24,4866,32266,16.90164375,41.55558785,1.694399328,32.20031958,22.50804812,43.7617327,9.7588956,10849.81805,719.7343224
9,2,1459,621,36,8525,20816,16.79867172,17.28733123,0.8044654362,12.68758216,18.02083446,24.57946259,3.523717313,19008.36394,1412.590599
10,2,1136,408,38,14283,83269,16.7163372,35.38431016,1.214420082,62.87151758,29.9233956,70.50629754,9.040963096,31847.09233,1815.761278
11,2,649,1708,14,9170,78315,16.21398735,56.10148567,2.504006976,29.28018278,55.41363798,65.47729415,17.037794,20446.53341,940.7315832
12,2,1322,1404,33,3304,14099,16.20562172,19.14822872,0.6846933456,21.91795295,32.88673403,43.64212298,7.642152719,7366.995243,645.0730856
13,2,1131,469,37,14327,100445,15.72673416,49.77132868,2.230612761,33.93017487,74.0325526,81.47041181,31.86106999,31945.20001,1717.208445
14,2,811,1685,28,2554,20770,15.19547939,46.60930249,1.584784065,22.46123562,14.71625344,29.55363816,5.316214615,5694.70516,433.0351732
15,2,1279,1432,20,853,3193,14.56726551,14.1953984,0.4601732178,12.00822216,20.63158906,25.5859294,8.335396317,1901.951254,215.0243619
16,2,1281,1221,57,9812,69510,14.20004654,41.07470018,1.7986492,37.79789768,59.85867895,77.32018547,17.01338704,21878.01372,1024.352168
17,2,1348,1341,68,2728,19310,14.03469849,45.257639,1.896064566,20.52408625,28.65512692,39.421086,3.732997508,6082.676459,522.6286573
18,2,661,1627,39,20533,88550,13.64036179,30.41740998,1.274111986,43.8809343,171.8262718,141.1491337,100.6748768,45782.84301,2619.116185
19,2,624,1657,39,9245,53186,13.27105618,33.73225412,1.41925611,32.25569459,54.70178147,68.28093114,22.01569298,20613.76241,1182.63399
20,2,1221,1325,41,6059,21446,12.82561016,45.96821773,2.342747094,27.24608943,63.10025367,67.4005037,22.82201258,13509.87414,1349.875161
21,2,1378,1401,36,2473,10006,12.75290108,16.51526136,0.6103835736,20.06267585,35.92636475,43.64118818,9.655786129,5514.097831,456.926769
22,2,1284,1129,70,9211,34587,12.56386471,25.92346366,1.203793828,26.3081712,21.78346337,38.91385849,4.872191225,20537.95193,1573.858871
23,2,1413,1491,29,857,2662,12.03242302,14.62798099,0.5706871102,19.77208957,10.94017403,23.90748547,4.266862723,1910.870134,226.9701597
24,2,1103,954,38,13188,37120,11.93094254,26.29667297,1.247122082,121.0729708,49.62953996,126.0054196,76.96468482,29405.54881,2039.744988
25,2,1067,1279,33,6374,34479,11.92808056,27.69401578,1.286738179,35.68170676,27.54049597,50.95703958,7.290872044,14212.23598,1024.352168
26,2,1192,916,59,33645,196441,11.77851391,55.05221045,2.717800777,46.44685287,96.8986629,109.0517248,38.38816449,75018.93309,3279.121518
27,2,508,1863,13,4494,26063,11.49380112,35.29235923,1.443238812,18.00188945,36.259304,41.53022438,8.387473819,10020.36217,970.5960779
28,2,1311,1547,17,1262,3019,11.40763378,10.150982,0.4252271846,35.41162807,14.51288923,36.85066997,10.84253048,2813.906778,346.4281386
29,2,1181,907,37,8828,36874,11.34622288,24.06609769,1.07239854,41.35679438,57.90059344,79.54455241,22.94610556,19683.96913,1131.864349
30,2,1537,1651,33,7030,19612,11.22581196,16.66259002,0.6355854952,29.89633606,80.53224925,79.76078112,21.3611154,15674.93237,1116.932102
31,2,1398,530,35,2784,5733,11.19673824,8.197435845,0.2852626369,47.31791256,23.25881533,53.92648143,13.69204027,6207.540785,459.9132184
32,2,999,817,42,8555,33885,11.17908478,28.75751383,1.189965164,23.60016496,44.98662226,52.9656996,16.3685973,19075.25554,1472.319589
33,2,1165,394,57,3143,17458,11.10272884,48.78661892,1.979730128,16.103924,45.48797271,43.9956408,13.72295685,7008.010305,695.8427266
34,2,1234,1252,73,4611,24395,11.08122158,37.88890346,1.727683176,51.71132083,17.67715176,49.14671123,17.98288513,10281.23943,797.3820086
35,2,1338,1596,18,967,2371,11.04652882,13.17475887,0.4999220415,15.12500028,12.54155223,22.38818268,2.811277171,2156.139346,325.5229923
36,2,1138,597,61,2677,11784,11.02624321,28.46591647,1.155938829,17.78218054,31.73623761,38.61586146,7.162805303,5968.960734,537.5609047
37,2,564,1821,37,21367,140612,10.98528385,52.89923352,2.250078364,85.26395418,70.15581054,125.7216461,29.44536669,47642.42958,2021.826291
38,2,1357,441,37,9523,26962,10.92811966,20.32459779,0.8470948667,112.6305602,23.73234684,84.04153307,89.15307728,21233.6246,1502.184084
