ncl,vel disp,r,pa,maj,min,lco,mvir,mco,mvir,mlum,area,density
119,6,30,20,28,19,2,2,3,200000,300000,2827.433388,70.73553026
121,4.1,35,90,31,21,0.6,1,1,100000,100000,3848.451001,25.9844805
123,5,29,160,34,18,1,1,2,100000,200000,2642.079422,37.84897577
124,1.6,20,55,32,17,0.2,0.1,0.4,10000,40000,1256.637061,7.957747155
125,3.9,36,78,26,24,1,1,2,100000,200000,4071.504079,24.56094801
127,3,36,21,29,22,0.5,0.6,0.8,60000,80000,4071.504079,14.7365688
128,7.4,50,40,44,23,5,5,8,500000,800000,7853.981634,63.66197724
129,16.1,33,17,37,18,5,20,9,2000000,900000,3421.1944,584.5911592
132,5.9,20,67,31,17,1,1,2,100000,200000,1256.637061,79.57747155
133,4.7,32,144,34,19,0.5,1,0.8,100000,80000,3216.990877,31.08494982
134,1.6,18,121,27,17,0.2,0.1,0.4,10000,40000,1017.87602,9.824379203
135,11.5,87,113,91,28,10,20,20,2000000,2000000,23778.7148,84.10883503
136,4.3,32,100,28,20,1,1,2,100000,200000,3216.990877,31.08494982
138,2,64,118,51,28,0.7,0.5,1,50000,100000,12867.96351,3.885618728
139,3.2,30,83,24,21,0.3,0.6,0.6,60000,60000,2827.433388,21.22065908
143,5.3,83,92,70,32,9,4,10,400000,1000000,21642.43179,18.48221142
145,5.7,31,79,30,19,1,2,2,200000,200000,3019.07054,66.24555384
146,4.4,50,77,39,25,0.6,2,1,200000,100000,7853.981634,25.46479089
147,7,46,150,30,28,3,4,4,400000,400000,6647.610055,60.17200117
149,3.7,13,61,17,18,0.6,0.3,1,30000,100000,530.9291585,56.50471352
150,5.5,36,107,34,20,0.6,2,0.9,200000,90000,4071.504079,49.12189602
151,3.7,23,105,23,18,0.6,0.6,1,60000,100000,1661.902514,36.1032007
152,5.1,12,116,21,16,0.4,0.6,0.7,60000,70000,452.3893421,132.6291192
153,6.9,74,7,55,33,5,7,9,700000,900000,17203.36137,40.68972249
154,7.8,89,129,84,31,8,10,10,1000000,1000000,24884.55541,40.18556826
155,6.6,52,154,52,22,3,4,5,400000,500000,8494.866535,47.08726127
156,4.9,23,151,25,18,2,1,4,100000,400000,1661.902514,60.17200117
157,5.9,26,71,24,19,1,2,2,200000,200000,2123.716634,94.17452254
160,2.4,12,140,25,16,0.2,0.1,0.3,10000,30000,452.3893421,22.10485321
162,8.2,19,20,21,18,0.9,2,2,200000,200000,1134.114948,176.3489674
163,5.9,51,124,38,26,0.5,3,0.9,300000,90000,8171.282492,36.71394304
164,6.2,32,7,31,19,1,2,2,200000,200000,3216.990877,62.16989965
167,5.3,30,103,32,19,0.7,2,1,200000,100000,2827.433388,70.73553026
168,6.9,67,158,46,33,2,6,3,600000,300000,14102.60942,42.54531782
169,6.8,32,45,25,22,0.7,3,1,300000,100000,3216.990877,93.25484947
170,6.6,25,73,26,18,0.7,2,1,200000,100000,1963.495408,101.8591636
171,20.2,46,148,45,21,4,40,6,4000000,600000,6647.610055,601.7200117
172,5.4,24,9,21,19,0.9,1,1,100000,100000,1809.557368,55.26213302
173,5,26,29,24,19,1,1,2,100000,200000,2123.716634,47.08726127
176,4.4,44,171,40,22,0.3,2,0.5,200000,50000,6082.123377,32.8832527
177,3.5,20,57,26,17,0.2,0.4,0.3,40000,30000,1256.637061,31.83098862
179,7.2,34,76,27,21,1,3,2,300000,200000,3631.681108,82.60637185
181,6.7,43,153,31,25,2,4,3,400000,300000,5808.804816,68.86098133
183,2.6,41,36,39,21,0.3,0.5,0.5,50000,50000,5281.017251,9.467872879
184,5.6,25,166,25,18,0.7,1,1,100000,100000,1963.495408,50.92958179
185,6.8,48,20,38,25,1,4,2,400000,200000,7238.229474,55.26213302
186,8.9,71,132,59,29,4,10,7,1000000,700000,15836.76857,63.14419484
187,5.3,25,0,25,18,0.6,1,1,100000,100000,1963.495408,50.92958179
188,4.9,18,11,24,17,1,0.8,2,80000,200000,1017.87602,78.59503363
189,4.3,58,167,39,31,0.6,2,1,200000,100000,10568.31769,18.92448788
191,9.7,49,109,37,26,4,9,6,900000,600000,7542.963961,119.3164921
195,8.9,19,89,24,17,3,3,5,300000,500000,1134.114948,264.5234511
196,9.2,59,120,47,27,2,10,4,1000000,400000,10935.88403,91.44208164
197,14.3,220,87,275,53,70,90,100,9000000,10000000,152053.0844,59.18985487
201,4.5,37,9,39,19,0.5,1,0.8,100000,80000,4300.840343,23.25126999
203,6,37,76,29,22,1,2,2,200000,200000,4300.840343,46.50253998
204,4.2,24,116,24,18,0.3,0.8,0.5,80000,50000,1809.557368,44.20970641
205,8,52,31,38,27,3,6,4,600000,400000,8494.866535,70.6308919
206,4.3,15,41,18,18,0.4,0.5,0.7,50000,70000,706.8583471,70.73553026
208,6.8,60,109,51,26,0.5,5,0.9,500000,90000,11309.73355,44.20970641
211,5.2,36,48,27,23,0.4,2,0.6,200000,60000,4071.504079,49.12189602
