ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,COmax,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,area,perimeter
43,2,1199,1034,39,4624,10718,10.26669598,17.00207359,0.7087924751,67.39,22.38,60.62,42.28,10310.22579,1033.311517
44,2,1460,1987,61,897,2135,10.26263523,8.412340473,0.3346304681,19.56,11.55,16.93,1.532,2000.058938,238.9159576
45,2,1444,1895,57,2420,6312,10.04914093,11.81110278,0.4903661196,17.74,28.93,32.34,10.75,5395.922666,486.7912637
46,2,767,972,51,1257,3791,9.553206444,8.536900373,0.3492196822,14.21,35.02,31.71,21.4,2802.758178,289.6855986
47,2,576,1488,40,7473,20901,9.499456406,34.08319132,1.74991778,39.71,99.15,100.5,36.51,16662.69838,1290.146171
48,2,1124,1307,63,10942,35003,9.484080315,33.07326841,1.514620944,113.4,34.1,99.53,30.17,24397.59744,1660.465906
49,2,1376,1454,45,2153,7354,9.431555748,17.10693024,0.7333408076,26.75,13.98,26.04,12.64,4800.587396,576.3847478
50,2,928,1754,41,4769,9680,9.167451859,20.67045492,0.9115936606,20.93,41.52,44.56,15.88,10633.5352,892.9483916
51,2,1355,1467,19,255,500,9.031352043,6.484234723,0.1982885705,11.1,7.533,nan,4.608,568.578628,113.4850799
52,2,1151,1655,17,928,1603,9.007079124,6.635184261,0.2331435611,12.28,21.96,20.06,3.733,2069.180262,322.5365428
53,2,1458,1742,25,1463,3615,8.888460159,10.20826627,0.4123101136,13.24,47.82,36.92,19.74,3262.080521,474.8454658
54,2,1419,754,35,4746,12681,8.804850578,13.87492438,0.6178908866,58.98,25.49,60.52,35.78,10582.25164,872.0432453
55,2,1016,1512,47,2342,3581,8.632504463,5.137514823,0.1796237055,25.49,33.53,44.14,15.68,5222.004497,444.9809711
56,2,1488,712,38,3447,9702,8.383357048,17.27730356,0.7630096659,45.16,26.22,53.09,19.49,7685.845218,725.7072213
57,2,1555,909,44,2976,6516,7.916400433,15.45537102,0.6650861447,46.55,19.93,46.27,17.25,6635.647047,668.9646814
58,2,872,1455,47,1984,6484,7.881467342,24.4328082,1.143500431,22.54,13.33,22,11.76,4423.764698,444.9809711
59,2,1645,1639,36,933,1860,7.591480732,8.615401662,0.3631719374,8.454,25.15,15.86,8.753,2080.328862,283.7126997
60,2,982,2312,57,329,536,7.42032671,5.146807451,0.1826473817,11.94,9.454,nan,11.09,733.5779161,134.3902262
61,2,795,1503,51,1201,2410,7.418851376,10.43084829,0.4594419952,41.41,14.97,36.45,26.07,2677.893852,436.0216227
62,2,1493,1597,39,405,675,7.381441116,nan,nan,16.98,11.6,14.49,6.553,903.0366444,152.308923
64,2,963,1416,56,657,1260,7.338654041,6.821072789,0.267194926,8.123,25.18,15.17,20.4,1464.926112,226.9701597
65,2,831,1125,43,1036,2475,7.300191879,8.798393676,0.4021636629,11.19,29.35,23.62,4.558,2309.990034,265.7940029
66,2,829,1987,47,869,1202,7.289719582,6.703160822,0.2370521469,13.04,24.78,23.31,15.03,1937.626775,265.7940029
67,2,1413,1860,59,940,1438,7.280642033,10.59004999,0.5015827411,31.64,9.373,21.76,7.526,2095.936903,307.6042954
68,2,474,1955,13,664,1646,7.256030083,12.2711396,0.5671428924,15.43,10.27,10.43,4.488,1480.534153,215.0243619
69,2,1555,852,42,992,1593,7.24021244,5.254406782,0.2069887312,10.62,37.88,27.44,21.4,2211.882349,289.6855986
71,2,963,1991,50,653,1088,7.137562752,5.182877996,0.1896477366,17.79,12.1,16.09,3.883,1456.007232,200.0921145
72,2,915,2365,40,945,1388,7.118220806,7.008384462,0.3060320395,10.61,30.12,23.11,10.04,2107.085504,298.644947
73,2,861,1578,44,842,1661,7.115047932,8.68767729,0.3801048931,28.04,9.64,20.1,20.31,1877.424332,244.8888566
74,2,454,1759,41,541,1120,7.108631611,5.31913176,0.2239708427,18.18,13.39,18.24,6.828,1206.278579,167.2411703
76,2,977,1308,35,520,787,6.989174366,5.160314689,0.186879661,11.33,13.34,9.454,3.082,1159.454457,179.1869682
79,2,826,1159,43,1018,1600,6.965826035,8.699190715,0.3850752932,9.807,24.86,18.28,7.876,2269.855072,343.4416891
80,2,1110,1134,37,1483,2876,6.954494953,5.332750807,0.226205234,44.26,15.28,38.43,4.23,3306.674923,322.5365428
81,2,891,2170,52,807,961,6.928696632,5.186286182,0.1904865818,14.64,34.73,32.15,17.45,1799.384129,340.4552396
82,2,980,675,53,480,741,6.908817291,6.803858485,0.2575275439,14.07,10.05,7.962,10.33,1070.265653,194.1192156
83,2,894,1634,44,759,1359,6.87653923,8.736502904,0.3886498972,12.55,25.99,23.48,15.99,1692.357563,268.7804523
86,2,1169,1888,18,709,1006,6.854310989,7.136654688,0.33574775,9.923,21.51,15.93,16.32,1580.871558,218.0108113
91,2,450,1910,13,333,601,6.78191185,8.660414345,0.3698604435,8.245,14.51,2.443,24.82,742.4967965,134.3902262
97,2,1789,303,36,2333,5434,6.730285645,13.92812784,0.6295738722,32.46,17.63,34.67,16.45,5201.937016,418.1029258
99,2,855,2206,54,2022,3989,6.715952396,12.18866176,0.548387531,26.46,17.45,30.16,10.43,4508.494062,570.4118488
115,2,1177,2021,54,1602,2713,6.473664761,12.40771052,0.6019731125,9.78,10.75,nan,8.86,3572.011616,450.95387
128,2,904,2293,57,668,1010,6.263219833,8.751758492,0.3913637735,6.853,18.04,4.059,34.18,1489.453033,253.848205
149,2,1090,2052,52,928,1828,5.947585583,10.70614253,0.5278715798,22.66,8.177,13.39,18.62,2069.180262,283.7126997
155,2,1048,488,56,434,855,5.889073372,10.56473557,0.491366653,9.494,10.24,nan,2.797,967.6985276,176.2005188
157,2,1451,2009,62,501,776,5.781434536,7.074112178,0.3187376838,7.786,22.82,12.62,22.46,1117.089775,223.9837103
159,2,872,2202,57,425,526,5.730435848,5.300972152,0.2180935735,13.61,7.198,nan,7.458,947.6310466,191.1327661
