ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,total surface density,lte mass,err lte mass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,xco alphavir,lte alphavir,lte alphavir err,area,perimeter
1,2,1315,1341,43,6852,8.21E+04,6.38E+05,242.4,28.44,1.48E+06,1.493,2.13E+06,2.13E+05,79.08,3.654,31.33,31.33,47.78,11.37,234.6,162.4,44.52,1.53E+04,961.6
2,2,685,1613,24,1.05E+04,9.94E+04,8.09E+05,266.6,23.88,1.87E+06,2.866,5.18E+06,5.18E+05,50.86,1.715,60.56,60.56,96.85,15.36,155.2,55.99,11.15,2.35E+04,1102
3,2,1119,1357,33,2.97E+04,2.53E+05,1.87E+06,425.4,20.66,4.33E+06,5.795,2.43E+07,2.43E+06,51.08,2.12,73.52,62.28,108.6,26.92,75.82,13.52,3.785,6.63E+04,2282
4,2,762,1669,13,4659,2.70E+04,2.01E+05,139,19.66,4.64E+05,0.7708,3.46E+05,3.46E+04,33.89,1.31,36.75,22.5,43.3,15.87,124.3,166.6,64.6,1.04E+04,803.4
5,2,1169,1434,30,2.81E+04,2.19E+05,1.60E+06,395.8,19.24,3.69E+06,5.112,1.83E+07,1.83E+06,48.42,1.719,68.99,66.15,108.4,24.73,79.68,16.11,4.173,6.27E+04,2246
6,2,1338,1463,30,1.54E+04,8.06E+04,5.52E+05,240.1,17.95,1.28E+06,1.93,2.38E+06,2.38E+05,41.61,1.678,71.13,44.78,90.03,26.73,141.4,75.72,24.49,3.44E+04,1660
7,2,1059,445,40,1.13E+04,5.62E+04,3.96E+05,200.5,17.75,9.15E+05,2.014,1.78E+06,1.78E+05,30.87,1.187,51.44,51.44,81.74,22.67,98.62,50.61,15.42,2.52E+04,1251
8,2,1276,1478,24,4866,3.23E+04,2.34E+05,151.9,16.9,5.41E+05,0.9754,5.11E+05,5.11E+04,41.56,1.694,32.2,22.51,40.06,10.66,148,156.8,46.37,1.09E+04,719.7
9,2,1459,621,36,8525,2.08E+04,1.32E+05,122,16.8,3.05E+05,0.6494,1.92E+05,1.92E+04,17.29,0.8045,18.02,18.02,23.41,4.41,26.56,42.28,9.839,1.90E+04,1413
10,2,1136,408,38,1.43E+04,8.33E+04,5.69E+05,244,16.72,1.31E+06,2.238,2.85E+06,2.85E+05,35.38,1.214,62.87,29.92,68.27,9.337,75.33,34.78,6.358,3.19E+04,1816
