ncl,clumptype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO,errWCO,COmax,xcomass,total surface density,lte mass,err lte mass,meansigv,errsigv,ellipse a,ellipse b,ellipse R,ellipse R error,xco alphavir,lte alphavir,lte alphavir err,area,perimeter
30,2,1537,1651,33,7030,1.96E+04,1.19E+05,118.4,11.23,2.75E+05,0.3625,9.66E+04,9655,16.66,0.6356,80.53,80.53,129.7,21.56,151.5,432,90.04,1.57E+04,1117
31,2,1398,530,35,2784,5733,3.83E+04,64.03,11.2,8.84E+04,0.2537,2.17E+04,2170,8.197,0.2853,47.32,23.26,50.97,14.49,44.87,182.8,56.53,6208,459.9
32,2,999,817,42,8555,3.39E+04,2.01E+05,155.7,11.18,4.65E+05,0.4187,1.88E+05,1.88E+04,28.76,1.19,44.99,44.99,70.97,16.87,146.3,361.2,97.81,1.91E+04,1472
33,2,1165,394,57,3143,1.75E+04,1.07E+05,111.7,11.1,2.47E+05,0.2709,6.47E+04,6474,48.79,1.98,45.49,45.49,71.81,14.13,801.5,3058,719.1,7008,695.8
34,2,1234,1252,73,4611,2.44E+04,1.44E+05,132.1,11.08,3.33E+05,0.4895,1.58E+05,1.58E+04,37.89,1.728,51.71,17.68,45.88,19.26,229,483.5,213.3,1.03E+04,797.4
35,2,1338,1596,18,967,2371,1.43E+04,41.18,11.05,3.31E+04,0.03738,1197,119.7,13.17,0.4999,15.13,12.54,13.82,4.554,83.94,2321,818.5,2156,325.5
36,2,1138,597,61,2677,1.18E+04,7.08E+04,91.8,11.03,1.64E+05,0.1452,2.30E+04,2297,28.47,1.156,31.74,31.74,48.49,7.621,278.3,1981,402.7,5969,537.6
37,2,564,1821,37,2.14E+04,1.41E+05,8.54E+05,317.1,10.99,1.97E+06,3.436,6.56E+06,6.56E+05,52.9,2.25,85.26,70.16,124.5,29.74,204.5,61.52,16.77,4.76E+04,2022
38,2,1357,441,37,9523,2.70E+04,1.59E+05,138.9,10.93,3.68E+05,0.6367,2.27E+05,2.27E+04,20.32,0.8471,112.6,23.73,82.17,91.18,106.8,173.4,193.7,2.12E+04,1502
39,2,1007,1056,37,1105,4761,3.05E+04,58.35,10.86,7.05E+04,0.06172,4207,420.7,15,0.5849,22.03,13.91,22.35,7.804,82.67,1384,514.2,2464,247.9
