ncl,vlsr,r,delta r,vel disp,delta vel disp,l,delta l,mlum,delta mlum,s/n,tb,omega shear,d
182,583.1,15.26,8.12,7.36,0.34,2.5,1.45,1260000,730000,4.6,5.9,0.47,762
184,622.2,20.9,7.48,5.85,0.57,1.22,0.41,610000,200000,6.7,8.5,0.48,734
187,647.3,19.8,8.51,6.65,0.53,1.65,0.83,830000,420000,5.2,6.4,0.41,874
188,651,24.78,14.45,6.14,0.4,1.59,0.85,800000,430000,5.2,6.3,0.48,730
195,725.9,11.81,12.8,5.47,0.66,1.07,0.63,540000,320000,4.6,5.8,0.48,730
200,729.9,10.79,4.11,8.76,1.58,2.62,0.61,1310000,310000,6.9,9,0.64,388
201,765.2,19.48,5.53,8.39,3.2,2.82,0.69,1410000,350000,6.2,7.9,0.63,412
202,775.6,24.42,7.13,7.82,0.3,2.56,0.99,1280000,500000,5.1,6.4,0.44,798
205,800.7,3.81,7.43,9.79,1.45,1.62,0.54,810000,270000,6,7,1.17,213
207,842.5,18.73,6.5,13.69,2.56,2.84,1.05,1420000,520000,6.2,7,7.28,42
209,881.1,11.94,9.34,12.73,4.74,1.44,0.82,720000,410000,5.6,6.3,5.5,54
210,820.1,8.32,10.36,8.48,4.38,1.78,0.94,890000,470000,5.1,6.5,0.46,766
213,888.1,5.87,3.52,10.37,2.64,1.79,0.59,900000,300000,5.6,6.7,1.3,197
217,903.5,22.42,5.85,8.29,2.69,2.62,0.79,1310000,400000,6.2,7.6,1.11,221
223,886.5,15.45,5.42,6.79,1.2,2.05,0.79,1030000,390000,6.3,8.6,0.52,679
230,910.8,14.1,7.89,9.83,1.75,1.89,0.93,950000,470000,5.4,7.5,0.46,778
231,929.8,33.24,7.35,8.17,1.68,6.04,1.46,3030000,730000,5.9,8.2,0.52,683
232,947.9,15.98,13.31,5.45,0.71,0.73,0.69,370000,340000,4.1,5.7,0.52,679
233,951.6,16.06,8.85,7.39,0.86,2,0.83,1000000,410000,5.3,7.4,0.56,599
234,948.7,15.31,4.96,6.28,0.81,2.41,0.73,1210000,370000,6.2,8.8,0.54,647
235,953.3,17.75,8.09,7.01,1.39,1.83,0.76,920000,380000,5.3,7.8,0.55,623
237,928.8,27.06,11.64,7.58,0.69,4.11,1.34,2060000,670000,4.8,7,0.47,746
240,957.5,30.47,12.89,6.47,0.33,2.58,1.02,1290000,510000,5.5,8.1,0.46,774
